year,city,country,avg_local_temp,avg_global_temp
1839,Seoul,South Korea,9.47,7.63
1840,Seoul,South Korea,10.21,7.80
1841,Seoul,South Korea,9.44,7.69
1842,Seoul,South Korea,10.13,8.02
1843,Seoul,South Korea,10.33,8.17
1844,Seoul,South Korea,10.15,7.65
1845,Seoul,South Korea,10.25,7.85
1846,Seoul,South Korea,10.57,8.55
1847,Seoul,South Korea,10.59,8.09
1848,Seoul,South Korea,10.36,7.98
1849,Seoul,South Korea,10.39,7.98
1850,Seoul,South Korea,9.69,7.90
1851,Seoul,South Korea,9.33,8.18
1852,Seoul,South Korea,9.52,8.10
1853,Seoul,South Korea,9.86,8.04
1854,Seoul,South Korea,10.53,8.21
1855,Seoul,South Korea,10.83,8.11
1856,Seoul,South Korea,10.30,8.00
1857,Seoul,South Korea,10.27,7.76
1858,Seoul,South Korea,10.45,8.10
1859,Seoul,South Korea,10.37,8.25
1860,Seoul,South Korea,9.47,7.96
1861,Seoul,South Korea,9.77,7.85
1862,Seoul,South Korea,9.69,7.56
1863,Seoul,South Korea,10.53,8.11
1864,Seoul,South Korea,10.00,7.98
1865,Seoul,South Korea,10.20,8.18
1866,Seoul,South Korea,10.11,8.29
1867,Seoul,South Korea,10.56,8.44
1868,Seoul,South Korea,10.49,8.25
1869,Seoul,South Korea,10.71,8.43
1870,Seoul,South Korea,10.34,8.20
1871,Seoul,South Korea,10.48,8.12
1872,Seoul,South Korea,10.26,8.19
1873,Seoul,South Korea,9.85,8.35
1874,Seoul,South Korea,10.52,8.43
1875,Seoul,South Korea,10.43,7.86
1876,Seoul,South Korea,10.71,8.08
1877,Seoul,South Korea,10.48,8.54
1878,Seoul,South Korea,10.29,8.83
1879,Seoul,South Korea,10.62,8.17
1880,Seoul,South Korea,10.29,8.12
1881,Seoul,South Korea,10.24,8.27
1882,Seoul,South Korea,10.43,8.13
1883,Seoul,South Korea,10.24,7.98
1884,Seoul,South Korea,9.37,7.77
1885,Seoul,South Korea,9.88,7.92
1886,Seoul,South Korea,10.33,7.95
1887,Seoul,South Korea,10.35,7.91
1888,Seoul,South Korea,10.34,8.09
1889,Seoul,South Korea,9.70,8.32
1890,Seoul,South Korea,11.38,7.97
1891,Seoul,South Korea,10.33,8.02
1892,Seoul,South Korea,9.61,8.07
1893,Seoul,South Korea,9.64,8.06
1894,Seoul,South Korea,11.60,8.16
1895,Seoul,South Korea,9.93,8.15
1896,Seoul,South Korea,10.39,8.21
1897,Seoul,South Korea,10.40,8.29
1898,Seoul,South Korea,11.49,8.18
1899,Seoul,South Korea,11.12,8.40
1900,Seoul,South Korea,10.55,8.50
1901,Seoul,South Korea,10.28,8.54
1902,Seoul,South Korea,10.82,8.30
1903,Seoul,South Korea,10.68,8.22
1904,Seoul,South Korea,10.25,8.09
1905,Seoul,South Korea,10.57,8.23
1906,Seoul,South Korea,10.08,8.38
1907,Seoul,South Korea,10.57,7.95
1908,Seoul,South Korea,10.08,8.19
1909,Seoul,South Korea,10.13,8.18
1910,Seoul,South Korea,9.94,8.22
1911,Seoul,South Korea,10.24,8.18
1912,Seoul,South Korea,9.96,8.17
1913,Seoul,South Korea,9.70,8.30
1914,Seoul,South Korea,11.44,8.59
1915,Seoul,South Korea,10.35,8.59
1916,Seoul,South Korea,10.49,8.23
1917,Seoul,South Korea,9.56,8.02
1918,Seoul,South Korea,10.21,8.13
1919,Seoul,South Korea,10.64,8.38
1920,Seoul,South Korea,10.98,8.36
1921,Seoul,South Korea,10.49,8.57
1922,Seoul,South Korea,10.53,8.41
1923,Seoul,South Korea,10.15,8.42
1924,Seoul,South Korea,10.54,8.51
1925,Seoul,South Korea,10.33,8.53
1926,Seoul,South Korea,10.25,8.73
1927,Seoul,South Korea,10.56,8.52
1928,Seoul,South Korea,10.53,8.63
1929,Seoul,South Korea,10.75,8.24
1930,Seoul,South Korea,11.12,8.63
1931,Seoul,South Korea,10.27,8.72
1932,Seoul,South Korea,10.98,8.71
1933,Seoul,South Korea,10.47,8.34
1934,Seoul,South Korea,10.21,8.63
1935,Seoul,South Korea,11.26,8.52
1936,Seoul,South Korea,9.85,8.55
1937,Seoul,South Korea,11.15,8.70
1938,Seoul,South Korea,10.80,8.86
1939,Seoul,South Korea,11.36,8.76
1940,Seoul,South Korea,10.63,8.76
1941,Seoul,South Korea,10.89,8.77
1942,Seoul,South Korea,10.72,8.73
1943,Seoul,South Korea,11.14,8.76
1944,Seoul,South Korea,10.52,8.85
1945,Seoul,South Korea,9.99,8.58
1946,Seoul,South Korea,11.07,8.68
1947,Seoul,South Korea,9.20,8.80
1948,Seoul,South Korea,11.23,8.75
1949,Seoul,South Korea,11.24,8.59
1950,Seoul,South Korea,11.29,8.37
1951,Seoul,South Korea,10.98,8.63
1952,Seoul,South Korea,10.85,8.64
1953,Seoul,South Korea,10.79,8.87
1954,Seoul,South Korea,11.09,8.56
1955,Seoul,South Korea,11.23,8.63
1956,Seoul,South Korea,9.84,8.28
1957,Seoul,South Korea,10.11,8.73
1958,Seoul,South Korea,11.09,8.77
1959,Seoul,South Korea,11.58,8.73
1960,Seoul,South Korea,11.63,8.58
1961,Seoul,South Korea,11.66,8.80
1962,Seoul,South Korea,10.98,8.75
1963,Seoul,South Korea,10.55,8.86
1964,Seoul,South Korea,11.35,8.41
1965,Seoul,South Korea,10.61,8.53
1966,Seoul,South Korea,10.73,8.60
1967,Seoul,South Korea,10.84,8.70
1968,Seoul,South Korea,10.93,8.52
1969,Seoul,South Korea,10.09,8.60
1970,Seoul,South Korea,10.46,8.70
1971,Seoul,South Korea,10.71,8.60
1972,Seoul,South Korea,11.01,8.50
1973,Seoul,South Korea,11.28,8.95
1974,Seoul,South Korea,10.21,8.47
1975,Seoul,South Korea,11.61,8.74
1976,Seoul,South Korea,10.56,8.35
1977,Seoul,South Korea,11.22,8.85
1978,Seoul,South Korea,11.46,8.69
1979,Seoul,South Korea,11.58,8.73
1980,Seoul,South Korea,10.03,8.98
1981,Seoul,South Korea,10.28,9.17
1982,Seoul,South Korea,11.47,8.64
1983,Seoul,South Korea,11.38,9.03
1984,Seoul,South Korea,10.67,8.69
1985,Seoul,South Korea,10.78,8.66
1986,Seoul,South Korea,10.46,8.83
1987,Seoul,South Korea,11.03,8.99
1988,Seoul,South Korea,11.23,9.20
1989,Seoul,South Korea,12.01,8.92
1990,Seoul,South Korea,11.86,9.23
1991,Seoul,South Korea,11.39,9.18
1992,Seoul,South Korea,11.48,8.84
1993,Seoul,South Korea,11.02,8.87
1994,Seoul,South Korea,12.32,9.04
1995,Seoul,South Korea,11.27,9.35
1996,Seoul,South Korea,11.13,9.04
1997,Seoul,South Korea,11.70,9.20
1998,Seoul,South Korea,12.66,9.52
1999,Seoul,South Korea,12.13,9.29
2000,Seoul,South Korea,11.42,9.20
2001,Seoul,South Korea,11.60,9.41
2002,Seoul,South Korea,11.80,9.57
2003,Seoul,South Korea,11.80,9.53
2004,Seoul,South Korea,12.25,9.32
2005,Seoul,South Korea,11.16,9.70
2006,Seoul,South Korea,12.01,9.53
2007,Seoul,South Korea,12.25,9.73
2008,Seoul,South Korea,11.96,9.43
2009,Seoul,South Korea,11.84,9.51
2010,Seoul,South Korea,11.30,9.70
2011,Seoul,South Korea,11.12,9.52
2012,Seoul,South Korea,11.23,9.51
2013,Seoul,South Korea,12.12,9.61
